id,name,website,industry,description,logo_url,location,region,country,size,founded,tags,product_types,rss_feed_url,linkedin_url,twitter_handle,is_active,created_at,updated_at
11,Cal-Maine Foods,https://www.calmainefoods.com,Poultry,Largest producer and marketer of shell eggs in the United States,,"Ridgeland, MS",North America,United States,1001-5000,1957,"[""poultry"",""eggs"",""shell-eggs""]","[""Egg Products"",""Table Eggs""]",https://www.calmainefoods.com/investor-overview,,,true,2025-12-26T16:56:40.577Z,2025-12-26T16:56:40.577Z
12,Vital Farms,https://vitalfarms.com,Poultry,Pasture-raised egg and butter producer focused on ethical farming,,"Austin, TX",North America,United States,201-500,2007,"[""poultry"",""eggs"",""pasture-raised"",""ethical""]","[""Egg Products"",""Table Eggs""]",https://investors.vitalfarms.com/overview/default.aspx,,,true,2025-12-26T16:56:44.008Z,2025-12-26T16:56:44.008Z
13,Hormel Foods,https://www.hormelfoods.com,Poultry,Multinational food processing company with significant turkey operations,,"Austin, MN",,,10000+,1891,"[""poultry"",""turkey"",""food-processing""]",,https://investor.hormelfoods.com/ir-home/default.aspx,,,true,2025-12-26T16:56:47.261Z,2025-12-26T16:56:47.261Z
14,Seaboard Corporation,https://www.seaboardcorp.com,Poultry,Diversified agribusiness and transportation company with turkey operations,,"Merriam, KS",,,10000+,1918,"[""poultry"",""turkey"",""agribusiness""]",,https://www.seaboardcorp.com/investors/,,,true,2025-12-26T16:56:50.638Z,2025-12-26T16:56:50.638Z
15,Industrias Bachoco,https://en.grupobachoco.com,Poultry,Leading poultry producer in Mexico with U.S. operations,,"Celaya, Mexico",North America,Mexico,10000+,1952,"[""poultry"",""chicken"",""mexico""]","[""Chicken"",""Egg Products"",""Table Eggs"",""Turkey""]",https://en.grupobachoco.com/bachoco-company/annual-report-2024/,,,true,2025-12-26T16:56:54.623Z,2025-12-26T16:56:54.623Z
16,USDA GATS,https://apps.fas.usda.gov/gats/default.aspx,Data Source,USDA Foreign Agricultural Service Global Agricultural Trade System - database for trade statistics,,"Washington, DC",,,,,"[""usda"",""data-source"",""trade-statistics"",""government""]",,,,,true,2025-12-26T16:57:03.804Z,2025-12-26T16:57:03.804Z
17,USDA WASDE,https://www.usda.gov/about-usda/general-information/staff-offices/office-chief-economist/commodity-markets/wasde-report,Data Source,World Agricultural Supply and Demand Estimates - monthly USDA commodity report,,"Washington, DC",,,,,"[""usda"",""data-source"",""commodity-markets"",""monthly-report""]",,,,,true,2025-12-26T16:57:07.934Z,2025-12-26T16:57:07.934Z
18,Egg Industry Center,https://www.eggindustrycenter.org,Data Source,EIC US egg production analysis - monthly industry analysis reports,,"Ames, IA",,,,,"[""eggs"",""data-source"",""industry-analysis"",""monthly-report""]",,https://www.eggindustrycenter.org/industry-analysis,,,true,2025-12-26T16:57:12.789Z,2025-12-26T16:57:12.789Z
19,2 Sisters Food Group,,Poultry,,,,Europe,United Kingdom,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.013Z,2025-12-26T18:43:14.013Z
20,3 Puglisi Brothers,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.028Z,2025-12-26T18:43:14.028Z
21,A'Saffa Foods S.A.O.G.,,Poultry,,,,Middle East,Oman,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.032Z,2025-12-26T18:43:14.032Z
22,Abalıoğlu Group,,Poultry,,,,Middle East,Türkiye,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.037Z,2025-12-26T18:43:14.037Z
23,Acondesa,,Poultry,,,,South America,Colombia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.041Z,2025-12-26T18:43:14.041Z
24,Addoha Poultry Co.,,Poultry,,,,Middle East,Saudi Arabia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.045Z,2025-12-26T18:43:14.045Z
25,Agri Star Meat & Poultry,,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.049Z,2025-12-26T18:43:14.049Z
26,Agrícol,,Poultry,,,,South America,Colombia,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.052Z,2025-12-26T18:43:14.052Z
27,Agrícola Ariztía,,Poultry,,,,South America,Chile,,,"[""poultry"",""chicken"",""table-eggs"",""turkey""]","[""Chicken"",""Table Eggs"",""Turkey""]",,,,false,2025-12-26T18:43:14.055Z,2025-12-26T18:43:14.055Z
28,Agrícola Santa Marta de Liray,,Poultry,,,,South America,Chile,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.059Z,2025-12-26T18:43:14.059Z
29,Agrícola Santiago Yerkovic,,Poultry,,,,South America,Chile,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.063Z,2025-12-26T18:43:14.063Z
30,Agricovial SA,,Poultry,,,,South America,Chile,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.066Z,2025-12-26T18:43:14.066Z
31,Agro Holding Sibirskiy Premier,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.070Z,2025-12-26T18:43:14.070Z
32,Agrofert Holding,,Poultry,,,,Europe,Czech Republic,,,"[""poultry"",""chicken"",""ducks"",""table-eggs""]","[""Chicken"",""Ducks"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.074Z,2025-12-26T18:43:14.074Z
33,Agrofirma Oktyabrskaya,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.077Z,2025-12-26T18:43:14.077Z
34,Agroindustrial AAA,,Poultry,,,,Central America,Dominican Republic,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.081Z,2025-12-26T18:43:14.081Z
35,Agroindustrias Quesada,,Poultry,,,,North America,Mexico,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.085Z,2025-12-26T18:43:14.085Z
36,Agroinlaca,,Poultry,,,,South America,Venezuela,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.088Z,2025-12-26T18:43:14.088Z
37,AgroKomplex,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken"",""ducks"",""table-eggs""]","[""Chicken"",""Ducks"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.092Z,2025-12-26T18:43:14.092Z
38,Agrolucha,,Poultry,,,,South America,Venezuela,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.102Z,2025-12-26T18:43:14.102Z
39,AgroNivar,,Poultry,,,,South America,Venezuela,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.105Z,2025-12-26T18:43:14.105Z
40,Agropecuaria de Guissona,,Poultry,,,,Europe,Spain,,,"[""poultry"",""chicken"",""table-eggs"",""turkey""]","[""Chicken"",""Table Eggs"",""Turkey""]",,,,false,2025-12-26T18:43:14.109Z,2025-12-26T18:43:14.109Z
41,Agropecuaria El Huizache,,Poultry,,,,North America,Mexico,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.113Z,2025-12-26T18:43:14.113Z
42,Agropecuaria Jochy Polanco,,Poultry,,,,Caribbean,Dominican Republic,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.116Z,2025-12-26T18:43:14.116Z
43,Agropecuaria Río Bravo,,Poultry,,,,South America,Peru,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.120Z,2025-12-26T18:43:14.120Z
44,Agropecuaria Sanfandila,,Poultry,,,,North America,Mexico,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.124Z,2025-12-26T18:43:14.124Z
45,Agropecuruaria Wilse,,Poultry,,,,Caribbean,Dominican Republic,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.127Z,2025-12-26T18:43:14.127Z
46,Agropollito C.A.,,Poultry,,,,South America,Venezuela,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.130Z,2025-12-26T18:43:14.130Z
47,Agrosul Foods,,Poultry,,,,South America,Brazil,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.134Z,2025-12-26T18:43:14.134Z
48,Agrosuper Group,,Poultry,,,,South America,Chile,,,"[""poultry"",""chicken"",""table-eggs"",""turkey""]","[""Chicken"",""Table Eggs"",""Turkey""]",,,,false,2025-12-26T18:43:14.139Z,2025-12-26T18:43:14.139Z
49,Aitas Kz,,Poultry,,,,Europe,Kazakhstan,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.142Z,2025-12-26T18:43:14.142Z
50,Ak Bars Holding Co. OJSC,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.145Z,2025-12-26T18:43:14.145Z
51,Akashevskaya,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.148Z,2025-12-26T18:43:14.148Z
52,Al Ain Poultry Farm,,Poultry,,,,Middle East,United Arab Emirates,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.151Z,2025-12-26T18:43:14.151Z
53,Al Akhawain,,Poultry,,,,Middle East,Saudi Arabia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.155Z,2025-12-26T18:43:14.155Z
54,Al Rawdah (Emirates Modern Poultry Co.),,Poultry,,,,Middle East,United Arab Emirates,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.158Z,2025-12-26T18:43:14.158Z
55,Al Zain Farms LLC,,Poultry,,,,Middle East,Oman,,,"[""poultry"",""chicken"",""egg-products"",""table-eggs""]","[""Chicken"",""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.161Z,2025-12-26T18:43:14.161Z
56,Al-Fakieh Poultry Farms,,Poultry,,,,Middle East,Saudi Arabia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.164Z,2025-12-26T18:43:14.164Z
57,Al-Watania,,Poultry,,,,Middle East,Saudi Arabia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.167Z,2025-12-26T18:43:14.167Z
58,Alema Farms,,Poultry,,,,Africa,Ethiopia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.172Z,2025-12-26T18:43:14.172Z
59,Alf Sahel s.a.r.l.,,Poultry,,,,Africa,Morocco,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.176Z,2025-12-26T18:43:14.176Z
60,Alibue,,Poultry,,,,South America,Argentina,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.179Z,2025-12-26T18:43:14.179Z
61,Allen Harim Foods,,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.182Z,2025-12-26T18:43:14.182Z
62,Almarai Co.,,Poultry,,,,Middle East,Saudi Arabia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.186Z,2025-12-26T18:43:14.186Z
63,Amadori,,Poultry,,,,Europe,Italy,,,"[""poultry"",""chicken"",""egg-products"",""table-eggs"",""turkey""]","[""Chicken"",""Egg Products"",""Table Eggs"",""Turkey""]",,,,false,2025-12-26T18:43:14.190Z,2025-12-26T18:43:14.190Z
64,Ambar,,Poultry,,,,Middle East,Israel,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.194Z,2025-12-26T18:43:14.194Z
65,Amick Farms LLC,,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.197Z,2025-12-26T18:43:14.197Z
66,Amigear Ventures (Pty) Ltd.,,Poultry,,,,Africa,Botswana,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.200Z,2025-12-26T18:43:14.200Z
67,"AN Avícola Mélida, S.L.",,Poultry,,,,Europe,Spain,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.203Z,2025-12-26T18:43:14.203Z
68,"Anhui Shun'an Agricultural Development Co., Ltd.",,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.207Z,2025-12-26T18:43:14.207Z
69,Animex,,Poultry,,,,Europe,Poland,,,"[""poultry"",""chicken"",""geese"",""turkey""]","[""Chicken"",""Geese"",""Turkey""]",,,,false,2025-12-26T18:43:14.210Z,2025-12-26T18:43:14.210Z
70,Aoxiang Poultry,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.214Z,2025-12-26T18:43:14.214Z
71,Arab Company for Livestock Development (ACOLID),,Poultry,,,,Middle East,Saudi Arabia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.217Z,2025-12-26T18:43:14.217Z
72,Arasco Foods,,Poultry,,,,Middle East,Saudi Arabia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.222Z,2025-12-26T18:43:14.222Z
73,Arawak,,Poultry,,,,Caribbean,Trinidad and Tobago,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.230Z,2025-12-26T18:43:14.230Z
74,Arce Avícola,,Poultry,,,,Central America,Panama,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.235Z,2025-12-26T18:43:14.235Z
75,AS Ķekava Foods (JSC Putnu fabrika Ķekava),,Poultry,,,,Europe,Latvia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.240Z,2025-12-26T18:43:14.240Z
76,Astillas de Plata SA/Huevos K s.r.l.,,Poultry,,,,South America,Argentina,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.244Z,2025-12-26T18:43:14.244Z
77,Astral Foods,,Poultry,,,,Africa,South Africa,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.249Z,2025-12-26T18:43:14.249Z
78,Atria,,Poultry,,,,Europe,Finland,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.252Z,2025-12-26T18:43:14.252Z
79,Atyab Investments,,Poultry,,,,Middle East,Oman,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.255Z,2025-12-26T18:43:14.255Z
80,Aurora Alimentos,,Poultry,,,,South America,Brazil,,,"[""poultry"",""chicken"",""ducks"",""egg-products"",""turkey""]","[""Chicken"",""Ducks"",""Egg Products"",""Turkey""]",,,,false,2025-12-26T18:43:14.258Z,2025-12-26T18:43:14.258Z
81,Avangardco,,Poultry,,,,Europe,Ukraine,,,"[""poultry"",""chicken"",""egg-products"",""table-eggs""]","[""Chicken"",""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.261Z,2025-12-26T18:43:14.261Z
82,Avara,,Poultry,,,,Europe,United Kingdom,,,"[""poultry"",""chicken"",""ducks"",""turkey""]","[""Chicken"",""Ducks"",""Turkey""]",,,,false,2025-12-26T18:43:14.265Z,2025-12-26T18:43:14.265Z
83,Avex S.A.,,Poultry,,,,South America,Argentina,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.268Z,2025-12-26T18:43:14.268Z
84,AVICA,,Poultry,,,,Central America,Honduras,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.272Z,2025-12-26T18:43:14.272Z
85,Avícola AAA,,Poultry,,,,South America,Colombia,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.275Z,2025-12-26T18:43:14.275Z
86,Avícola Agua Blanca,,Poultry,,,,Central America,Guatemala,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.279Z,2025-12-26T18:43:14.279Z
87,Avícola Campestre,,Poultry,,,,Central America,El Salvador,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.282Z,2025-12-26T18:43:14.282Z
88,Avícola El Chaparral,,Poultry,,,,North America,Mexico,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.285Z,2025-12-26T18:43:14.285Z
89,Avícola El Ciprés,,Poultry,,,,Central America,Guatemala,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.288Z,2025-12-26T18:43:14.288Z
90,Avícola El Guamito,,Poultry,,,,South America,Colombia,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.292Z,2025-12-26T18:43:14.292Z
91,Avicola Frontini (Avícola del Oeste),,Poultry,,,,South America,Uruguay,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.295Z,2025-12-26T18:43:14.295Z
92,Avícola González y González,,Poultry,,,,North America,Mexico,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.298Z,2025-12-26T18:43:14.298Z
93,Avícola Kakaraka,,Poultry,,,,South America,Colombia,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.301Z,2025-12-26T18:43:14.301Z
94,Avícola Kikiriki,,Poultry,,,,Central America,Guatemala,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.305Z,2025-12-26T18:43:14.305Z
95,Avícola Kikiriki de El Salvador,,Poultry,,,,Central America,El Salvador,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.308Z,2025-12-26T18:43:14.308Z
96,Avícola Kikiriki de Nicaragua,,Poultry,,,,Central America,Nicaragua,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.312Z,2025-12-26T18:43:14.312Z
97,Avícola La Barranca,,Poultry,,,,Central America,Nicaragua,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.314Z,2025-12-26T18:43:14.314Z
98,Avícola La Blanca,,Poultry,,,,South America,Paraguay,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.318Z,2025-12-26T18:43:14.318Z
99,Avícola La Calera,,Poultry,,,,South America,Peru,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.321Z,2025-12-26T18:43:14.321Z
100,Avícola La Esperanza,,Poultry,,,,South America,Bolivia,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.323Z,2025-12-26T18:43:14.323Z
101,Avícola La Guásima,,Poultry,,,,South America,Venezuela,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.326Z,2025-12-26T18:43:14.326Z
102,Avícola Llombay S.A.,,Poultry,,,,Europe,Spain,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.329Z,2025-12-26T18:43:14.329Z
103,Avícola Los Cambulos,,Poultry,,,,South America,Colombia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.333Z,2025-12-26T18:43:14.333Z
104,Avícola Modelo,,Poultry,,,,South America,Bolivia,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.336Z,2025-12-26T18:43:14.336Z
105,Avícola Ricura,,Poultry,,,,Central America,Costa Rica,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.339Z,2025-12-26T18:43:14.339Z
106,Avícola Rolón,,Poultry,,,,South America,Bolivia,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.342Z,2025-12-26T18:43:14.342Z
107,Avícola Rosanda,,Poultry,,,,Central America,Guatemala,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.345Z,2025-12-26T18:43:14.345Z
108,Avícola San Isidro,,Poultry,,,,South America,Ecuador,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.348Z,2025-12-26T18:43:14.348Z
109,Avícola San Juan,,Poultry,,,,Central America,Honduras,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.351Z,2025-12-26T18:43:14.351Z
110,Avícola Santeel,,Poultry,,,,South America,Ecuador,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.355Z,2025-12-26T18:43:14.355Z
111,Avícola Sofía,,Poultry,,,,South America,Bolivia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.361Z,2025-12-26T18:43:14.361Z
112,Avícola y Comercial El Toco Ltda.,,Poultry,,,,South America,Chile,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.364Z,2025-12-26T18:43:14.364Z
113,Avícola y Porcícola de los Altos,,Poultry,,,,North America,Mexico,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.369Z,2025-12-26T18:43:14.369Z
114,Avicultores Unidos Avuga SA,,Poultry,,,,Central America,Costa Rica,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.372Z,2025-12-26T18:43:14.372Z
115,Avicultura Josidith,,Poultry,,,,South America,Brazil,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.375Z,2025-12-26T18:43:14.375Z
116,Avigrupo,,Poultry,,,,North America,Mexico,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.379Z,2025-12-26T18:43:14.379Z
117,Avigua SRL,,Poultry,,,,South America,Bolivia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.382Z,2025-12-26T18:43:14.382Z
118,Avimosa,,Poultry,,,,Europe,Spain,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.385Z,2025-12-26T18:43:14.385Z
119,Avinal,,Poultry,,,,South America,Colombia,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.388Z,2025-12-26T18:43:14.388Z
120,"Avinatur Producciones Avícolas, S.L.",,Poultry,,,,Europe,Spain,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.391Z,2025-12-26T18:43:14.391Z
121,Avine Alimentos,,Poultry,,,,South America,Brazil,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.394Z,2025-12-26T18:43:14.394Z
122,Avinka SA,,Poultry,,,,South America,Peru,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.398Z,2025-12-26T18:43:14.398Z
123,Avipechichal SA,,Poultry,,,,South America,Ecuador,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.401Z,2025-12-26T18:43:14.401Z
